Function                                                                                                                                                         CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module          Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                            Source File       Start Address
std::operator<<<std::char_traits<char>>                                                                                                                            0.460s                   0.460s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::operator<<<std::char_traits<char>>(std::basic_ostream<char, std::char_traits<char>>&, char const*)                                                                                                                                                                                                                                                                                                                    ostream           0x4470dd     
tVect::operator+                                                                                                                                                   0.459s                   0.459s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x4229ee     
std::vector<int, std::allocator<int>>::size                                                                                                                        0.450s                   0.450s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<int, std::allocator<int>>::size(void) const                                                                                                                                                                                                                                                                                                                                                                    stl_vector.h      0x456d81     
std::vector<std::vector<Elongation, std::allocator<Elongation>>, std::allocator<std::vector<Elongation, std::allocator<Elongation>>>>::operator[]                  0.450s                   0.450s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<std::vector<Elongation, std::allocator<Elongation>>, std::allocator<std::vector<Elongation, std::allocator<Elongation>>>>::operator[](unsigned long)                                                                                                                                                                                                                                                           stl_vector.h      0x41215f     
tVect::operator+                                                                                                                                                   0.440s                   0.440s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x421ace     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::~map                                       0.440s                   0.440s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::~map(void)                                                                                                                                                                                                                                                                                         stl_map.h         0x42c7e0     
tVect::operator+                                                                                                                                                   0.440s                   0.440s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x412374     
tVect::operator*                                                                                                                                                   0.439s                   0.439s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x422cc7     
tVect::norm2                                                                                                                                                       0.430s                   0.430s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::norm2(void) const                                                                                                                                                                                                                                                                                                                                                                                                   myvector.inl      0x44b671     
func@0x4043b0                                                                                                                                                      0.420s                   0.420s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          func@0x4043b0                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x4043b0     
GOMP_ordered_end                                                                                                                                                   0.420s                   0.420s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1    GOMP_ordered_end                                                                                                                                                                                                                                                                                                                                                                                                           ordered.c         0x14070      
std::ostream::operator<<                                                                                                                                           0.410s                   0.410s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::ostream::operator<<(double)                                                                                                                                                                                                                                                                                                                                                                                           ostream           0x44710f     
tVect::operator+                                                                                                                                                   0.410s                   0.410s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x421c5f     
tVect::operator*                                                                                                                                                   0.410s                   0.410s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x421b66     
GOMP_single_start                                                                                                                                                  0.409s                   0.409s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1    GOMP_single_start                                                                                                                                                                                                                                                                                                                                                                                                          single.c          0x15810      
node::isTopography                                                                                                                                                 0.407s                   0.407s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          node::isTopography(void) const                                                                                                                                                                                                                                                                                                                                                                                             node.cpp          0x4612b0     
LB::getX                                                                                                                                                           0.401s                   0.401s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          LB::getX(unsigned int const&) const                                                                                                                                                                                                                                                                                                                                                                                        LB.cpp            0x44d140     
func@0x4042e0                                                                                                                                                      0.400s                   0.400s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          func@0x4042e0                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x4042e0     
tVect::operator+=                                                                                                                                                  0.400s                   0.400s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+=(tVect const&)                                                                                                                                                                                                                                                                                                                                                                                            myvector.inl      0x436951     
std::vector<elmt, std::allocator<elmt>>::operator[]                                                                                                                0.400s                   0.400s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<elmt, std::allocator<elmt>>::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                         stl_vector.h      0x41b788     
std::ostream::operator<<                                                                                                                                           0.400s                   0.400s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libstdc++.so.6  std::ostream::operator<<(int)                                                                                                                                                                                                                                                                                                                                                                                              ostream.tcc       0x139ab0     
func@0x4042b0                                                                                                                                                      0.400s                   0.400s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          func@0x4042b0                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x4042b0     
func@0x4046c0                                                                                                                                                      0.400s                   0.400s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          func@0x4046c0                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x4046c0     
tVect::operator+=                                                                                                                                                  0.390s                   0.390s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+=(tVect const&)                                                                                                                                                                                                                                                                                                                                                                                            myvector.inl      0x419f8e     
std::vector<particle, std::allocator<particle>>::operator[]                                                                                                        0.390s                   0.390s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<particle, std::allocator<particle>>::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                 stl_vector.h      0x456da2     
operator*                                                                                                                                                          0.390s                   0.390s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          operator*(double const&, tVect const&)                                                                                                                                                                                                                                                                                                                                                                                     myvector.inl      0x419bbf     
std::abs                                                                                                                                                           0.390s                   0.390s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::abs(double)                                                                                                                                                                                                                                                                                                                                                                                                           std_abs.h         0x419f9f     
tVect::operator+                                                                                                                                                   0.390s                   0.390s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x422544     
std::vector<unsigned int, std::allocator<unsigned int>>::size                                                                                                      0.390s                   0.390s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<unsigned int, std::allocator<unsigned int>>::size(void) const                                                                                                                                                                                                                                                                                                                                                  stl_vector.h      0x409803     
tVect::operator+                                                                                                                                                   0.390s                   0.390s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x41231d     
quaternion::operator+                                                                                                                                              0.380s                   0.380s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          quaternion::operator+(quaternion const&) const                                                                                                                                                                                                                                                                                                                                                                             myvector.inl      0x4220a3     
tVect::operator+=                                                                                                                                                  0.370s                   0.370s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+=(tVect const&)                                                                                                                                                                                                                                                                                                                                                                                            myvector.inl      0x438a80     
std::vector<node*, std::allocator<node*>>::push_back                                                                                                               0.370s                   0.370s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<node*, std::allocator<node*>>::push_back(node* const&)                                                                                                                                                                                                                                                                                                                                                         stl_vector.h      0x45778f     
tVect::operator+                                                                                                                                                   0.360s                   0.360s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x422b99     
tVect::operator+=                                                                                                                                                  0.360s                   0.360s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+=(tVect const&)                                                                                                                                                                                                                                                                                                                                                                                            myvector.inl      0x41bde8     
gomp_loop_guided_start                                                                                                                                             0.350s                   0.350s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1    gomp_loop_guided_start                                                                                                                                                                                                                                                                                                                                                                                                     loop.c            0x10030      
std::vector<unsigned int, std::allocator<unsigned int>>::size                                                                                                      0.350s                   0.350s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<unsigned int, std::allocator<unsigned int>>::size(void) const                                                                                                                                                                                                                                                                                                                                                  stl_vector.h      0x412123     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[]                                 0.340s                   0.340s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[](unsigned int const&)                                                                                                                                                                                                                                                                    stl_map.h         0x458af0     
tVect::operator+                                                                                                                                                   0.340s                   0.340s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x422262     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[]                                 0.338s                   0.338s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[](unsigned int const&)                                                                                                                                                                                                                                                                    stl_map.h         0x458cf0     
wall::getSpeed                                                                                                                                                     0.330s                   0.330s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          wall::getSpeed(tVect) const                                                                                                                                                                                                                                                                                                                                                                                                utils.cpp         0x461d90     
std::ostream::operator<<                                                                                                                                           0.320s                   0.320s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::ostream::operator<<(double)                                                                                                                                                                                                                                                                                                                                                                                           ostream           0x447171     
tVect::operator+                                                                                                                                                   0.320s                   0.320s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x422544     
gomp_team_barrier_wait                                                                                                                                             0.320s                       0s              0.320s                                           0.320s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1    gomp_team_barrier_wait                                                                                                                                                                                                                                                                                                                                                                                                     bar.c             0x20930      
operator*                                                                                                                                                          0.310s                   0.310s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          operator*(double const&, tVect const&)                                                                                                                                                                                                                                                                                                                                                                                     myvector.inl      0x460ee9     
tVect::operator+                                                                                                                                                   0.310s                   0.310s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x4122c2     
GOMP_parallel                                                                                                                                                      0.310s                   0.310s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1    GOMP_parallel                                                                                                                                                                                                                                                                                                                                                                                                              parallel.c        0x15050      
